NOTE: Annotations and predictions are separated with three blanks if annotations take up more than 75 characters
      Annotations/predictions are separated from other annotations/predictions by semi-colon

PREDICTIONS OF LABELLED DATA

GENE           ANNOTATION                                                                 PREDICTIONS
U31215         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
U31216         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
U65402         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007498: mesoderm development;
U31382         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007155: cell adhesion;
X83368         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;
U03642         GO:0007166: cell surface receptor linked signal transduction;              GO:0006468: protein phosphorylation;GO:0007166: cell surface receptor linked signal transduction;
M81778         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
X83857         GO:0007166: cell surface receptor linked signal transduction;              GO:0006915: apoptosis;GO:0006366: transcription from Pol II promoter;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007399: neurogenesis;GO:0006928: cell motility;
X83863         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0006629: lipid metabolism;
U54999         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;
U66578         GO:0007166: cell surface receptor linked signal transduction;              GO:0006366: transcription from Pol II promoter;GO:0007166: cell surface receptor linked signal transduction;
U66580         GO:0007166: cell surface receptor linked signal transduction;              GO:0000074: cell cycle control;GO:0007166: cell surface receptor linked signal transduction;GO:0000278: mitotic cell cycle;
U66581         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;
U32499         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0006959: humoral defense mechanism;
L12168         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0006508: proteolysis and peptidolysis;
X67594         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;
M67439         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0006959: humoral defense mechanism;
U13666         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0006508: proteolysis and peptidolysis;
L05597         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0006259: DNA metabolism;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0000278: mitotic cell cycle;GO:0006411: protein metabolism and modification;
U81607         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;
U33054         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0006810: transport;GO:0006928: cell motility;
L20469         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0006928: cell motility;GO:0007498: mesoderm development;
X70070         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
U33447         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;GO:0007048: oncogenesis;
D38449         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007155: cell adhesion;GO:0006629: lipid metabolism;
L16862         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X53800         GO:0007166: cell surface receptor linked signal transduction;              GO:0006366: transcription from Pol II promoter;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
L07615         GO:0007166: cell surface receptor linked signal transduction;              GO:0006366: transcription from Pol II promoter;GO:0007166: cell surface receptor linked signal transduction;GO:0006928: cell motility;GO:0007048: oncogenesis;
K03494         GO:0007166: cell surface receptor linked signal transduction;GO:0007601: vision;   GO:0007166: cell surface receptor linked signal transduction;GO:0007601: vision;
